cero, нуль
una (una),	один
dos,	два
tres,	три
cuatro,	чотири
cinco,	п'ять
seis,	шість
siete,	сім
ocho,	вісім
nueve,	дев'ять
diez,	десять
once,	одинадцять
doce,	дванадцять
trece,	тринадцять
catorce,	чотирнадцять
quince,	п'ятнадцять
dieciséis,	шістнадцять
diecisiete,	сімнадцять
dieciocho,	вісімнадцять
diecinueve,	дев'ятнадцять
veinte,	двадцять
veintiuno,	двадцять один
veinticinco,	двадцять п'ять
veintisiete,	двадцять сім
veintiocho,	двадцять вісім
veintinueve,	Двадцять дев'ять
treinta,	тридцять
cuarenta,	сорок
cincuenta,	п'ятдесят
sesenta,	шістдесят
setenta,	сімдесят
ochenta,	вісімдесят
noventa,	дев'яносто
cien,	сто
doscientos,	двісті
trescientos,	триста
mil,	тисяча
cuídate, бережи себе
yo, я
tú, ти
él, він
ella, вона
ello, воно
nosotros, ми
vosotros, ви (неформальне)
usted/ustedes ,Ви (формальне)
ellos/ellas, вони
me llamo, Мене звати
te llamas, Тебе звати
