lunes, Понедельник
martes, Вторник
miercoles, Среда
jueves, Четверг
viernes, Пятница
Sabado, Суббота
Domingo, Воскресенье
casi, почти
siempre, всегда
a menudo, часто
a veces, иногда
nunca, никогда
levantarse, вставать
nacer la cama, zapravlat кровать
desayunar,завтракать
ducharse,принять душ
lavarse,мыться
los dientes, зубы
vestirse,одеваться
ir/llegar al trabajo, идти/приходить на работу
comer,есть
almorzar,обедать
hacer deporte, заниматься спортом
cenar,обедать
acostarse,лечь
poder,может
despertarse,проснуться
pedir,просить
servir,служить
poner,помещать
despues,после
luego,затем
copas,напитки
coger,брать
baloncesto,баскетбол
comprar,купить
afeitarse,бриться
